timestamp,date,latitude,longitude
1565710945,"2019-08-13 15:42:25",38.860682,-77.056558
1565710966,"2019-08-13 15:42:46",38.860933,-77.056315
1565710972,"2019-08-13 15:42:52",38.861371,-77.056378
1565710977,"2019-08-13 15:42:57",38.861718,-77.056484
1565710982,"2019-08-13 15:43:02",38.862169,-77.056566
1565710988,"2019-08-13 15:43:08",38.862683,-77.056725
1565710993,"2019-08-13 15:43:13",38.863137,-77.056846
1565710999,"2019-08-13 15:43:19",38.863767,-77.056957
1565711004,"2019-08-13 15:43:24",38.864218,-77.056896
1565711009,"2019-08-13 15:43:29",38.864504,-77.056872
1565711015,"2019-08-13 15:43:35",38.864867,-77.056695
1565711021,"2019-08-13 15:43:41",38.86522,-77.056763
1565711026,"2019-08-13 15:43:46",38.865332,-77.057368
1565711032,"2019-08-13 15:43:52",38.865417,-77.057901
1565711038,"2019-08-13 15:43:58",38.865631,-77.058248
1565711044,"2019-08-13 15:44:04",38.866246,-77.058302
1565711050,"2019-08-13 15:44:10",38.866955,-77.058456
1565711056,"2019-08-13 15:44:16",38.867457,-77.059383
1565711061,"2019-08-13 15:44:21",38.867725,-77.060312
1565711067,"2019-08-13 15:44:27",38.867959,-77.061618
1565711073,"2019-08-13 15:44:33",38.868069,-77.062889
1565711079,"2019-08-13 15:44:39",38.867674,-77.064128
1565711085,"2019-08-13 15:44:45",38.867076,-77.065268
1565711090,"2019-08-13 15:44:50",38.866662,-77.066266
1565711096,"2019-08-13 15:44:56",38.866135,-77.0675
1565711102,"2019-08-13 15:45:02",38.865723,-77.068812
1565711108,"2019-08-13 15:45:08",38.865517,-77.070099
1565711113,"2019-08-13 15:45:13",38.865561,-77.07116
1565711119,"2019-08-13 15:45:19",38.865756,-77.072333
1565711125,"2019-08-13 15:45:25",38.866077,-77.073406
1565711130,"2019-08-13 15:45:30",38.866463,-77.074323
1565711136,"2019-08-13 15:45:36",38.867108,-77.075548
1565711142,"2019-08-13 15:45:42",38.867867,-77.076717
1565711147,"2019-08-13 15:45:47",38.868525,-77.077592
1565711153,"2019-08-13 15:45:53",38.869252,-77.078456
1565711158,"2019-08-13 15:45:58",38.869911,-77.079084
1565711164,"2019-08-13 15:46:04",38.870662,-77.079801
1565711169,"2019-08-13 15:46:09",38.871365,-77.08036
1565711175,"2019-08-13 15:46:15",38.872225,-77.080945
1565711181,"2019-08-13 15:46:21",38.872848,-77.081375
1565711187,"2019-08-13 15:46:27",38.873446,-77.081772
1565711193,"2019-08-13 15:46:33",38.87418,-77.082271
1565711199,"2019-08-13 15:46:39",38.874886,-77.08301
1565711205,"2019-08-13 15:46:45",38.875489,-77.083819
1565711210,"2019-08-13 15:46:50",38.875925,-77.084351
1565711216,"2019-08-13 15:46:56",38.876503,-77.084427
1565711222,"2019-08-13 15:47:02",38.876735,-77.083855
1565711227,"2019-08-13 15:47:07",38.876576,-77.083549
1565711239,"2019-08-13 15:47:19",38.876282,-77.083486
1565711244,"2019-08-13 15:47:24",38.875721,-77.083633
1565711250,"2019-08-13 15:47:30",38.875021,-77.084307
1565711256,"2019-08-13 15:47:36",38.874599,-77.085415
1565711262,"2019-08-13 15:47:42",38.874418,-77.086227
1565711267,"2019-08-13 15:47:47",38.874047,-77.087487
1565711273,"2019-08-13 15:47:53",38.873868,-77.088224
1565711294,"2019-08-13 15:48:14",38.87384,-77.08859
1565711300,"2019-08-13 15:48:20",38.873731,-77.089075
1565711305,"2019-08-13 15:48:25",38.873454,-77.089706
1565711311,"2019-08-13 15:48:31",38.873266,-77.090542
1565711316,"2019-08-13 15:48:36",38.873052,-77.091352
1565711322,"2019-08-13 15:48:42",38.872786,-77.09244
1565711327,"2019-08-13 15:48:47",38.872529,-77.093431
1565711333,"2019-08-13 15:48:53",38.872249,-77.094556
1565711338,"2019-08-13 15:48:58",38.87204,-77.095527
1565711344,"2019-08-13 15:49:04",38.871721,-77.096717
